0,32nd,2005,1509,9.34
1,SemiFinal,2009,564,1.25
2,Final,1991,522,6.46
3,16th,2007,314,7.85
4,16th,1990,1369,8.29
5,SemiFinal,2005,1788,2.87
6,SemiFinal,2011,310,5.35
7,32nd,1989,697,5.03
8,quarter_final,2009,489,7.57
9,16th,2015,1745,10.71
10,Final,1990,1063,10.48
11,32nd,1991,846,2.15
12,16th,1993,1634,5.58
13,SemiFinal,1986,693,1.03
14,SemiFinal,2014,462,9.57
15,quarter_final,1996,592,4.32
16,32nd,1997,507,8.0
17,SemiFinal,2005,1772,10.33
18,quarter_final,1986,754,7.36
19,16th,1991,2015,6.34
20,SemiFinal,1989,348,3.0
21,SemiFinal,2007,759,8.36
22,quarter_final,2006,1179,6.62
23,quarter_final,1988,719,10.04
24,SemiFinal,1990,1279,10.82
25,quarter_final,1989,1682,7.81
26,Final,2011,804,2.27
27,32nd,2010,993,7.11
28,Final,1996,1909,6.7
29,Final,1989,1566,4.37
30,SemiFinal,1996,1950,8.06
31,16th,2008,1645,1.4
32,32nd,1986,1732,2.83
33,quarter_final,1995,1183,1.31
34,16th,2005,1856,10.59
35,16th,1999,305,8.03
36,quarter_final,2007,343,5.12
37,SemiFinal,2001,96,9.02
38,quarter_final,1990,1513,5.68
39,Final,2011,928,8.62
40,Final,2014,485,7.9
41,quarter_final,2010,806,8.29
42,SemiFinal,2006,407,2.39
43,Final,1989,1810,4.85
44,32nd,1990,752,5.41
45,quarter_final,2000,620,5.83
46,SemiFinal,2003,1124,7.25
47,quarter_final,2014,1688,8.63
48,Final,1992,1330,5.39
49,Final,2000,1758,1.47
50,32nd,1989,264,9.17
51,16th,1998,939,10.91
52,Final,2012,781,10.24
53,32nd,2002,409,2.06
54,16th,2007,1764,9.63
55,SemiFinal,1991,1257,10.65
56,SemiFinal,1987,892,2.86
57,Final,1987,1388,5.17
58,16th,2010,1210,7.92
59,SemiFinal,2004,418,4.57
60,quarter_final,1994,678,2.0
61,32nd,1992,1147,10.71
62,SemiFinal,1994,440,7.73
63,32nd,2002,794,9.6
64,quarter_final,1995,582,7.35
65,32nd,2001,1616,6.67
66,Final,2001,1615,7.65
67,quarter_final,2002,1540,1.79
68,quarter_final,1986,1624,10.57
69,quarter_final,2003,540,1.67
70,SemiFinal,2002,1073,10.6
71,Final,1991,1958,7.87
72,SemiFinal,2002,605,7.65
73,16th,2014,365,9.1
74,quarter_final,2005,805,4.88
75,quarter_final,1987,1656,10.82
76,SemiFinal,2013,438,5.44
77,quarter_final,2009,1899,10.99
78,quarter_final,1995,96,1.75
79,quarter_final,2010,738,2.23
80,Final,1994,471,5.71
81,SemiFinal,2005,1898,4.53
82,Final,1995,197,3.82
83,quarter_final,1992,694,5.73
84,32nd,1991,1195,9.73
85,16th,1992,843,9.55
86,Final,1992,1466,2.39
87,16th,1994,358,6.63
88,quarter_final,2000,498,3.37
89,16th,1994,1468,4.02
90,quarter_final,2009,483,10.41
91,Final,2015,1358,9.78
92,SemiFinal,1997,844,3.41
93,SemiFinal,1992,1922,3.36
94,quarter_final,2011,440,8.32
95,Final,2004,1901,6.55
96,Final,1992,403,2.82
97,quarter_final,1991,830,6.74
98,16th,1999,1169,5.24
99,SemiFinal,1993,2043,9.68
100,SemiFinal,2000,1881,8.11
101,quarter_final,1997,1293,3.68
102,Final,1994,115,1.52
103,quarter_final,2015,1533,1.76
104,SemiFinal,1995,65,1.47
105,32nd,2000,459,7.5
106,SemiFinal,2007,1152,7.02
107,Final,2001,1946,8.96
108,16th,1992,1698,3.99
109,SemiFinal,1996,1903,3.34
110,quarter_final,2000,1681,6.45
111,32nd,2000,85,3.31
112,16th,1992,1293,5.86
113,16th,1986,393,4.87
114,32nd,1994,70,5.1
115,quarter_final,2014,1390,5.64
116,16th,1993,204,8.39
117,Final,1999,953,7.53
118,SemiFinal,2012,313,10.12
119,quarter_final,2011,61,4.71
120,16th,1990,900,9.97
121,Final,2012,1729,5.19
122,32nd,2004,479,5.85
123,quarter_final,1992,911,1.21
